"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"153",153,58,480,1.68814737363718,0.311990837659687,7,0.936957236938179,0.116761738900095,0.16543097095564,1,3.0578477662761
"244",244,27,182,1.62711336021312,0.153862770274282,6,0.663154385704547,0.313611753401347,1.032490872778,1,3.05699349994301
"168",168,83,384,1.53607779205777,0.164708788879216,10,0.848973359912634,0.216743437340483,0.631276196334511,2,3.03635512825792
"164",164,52,400,1.33604916594923,0.167399685550481,6,0.913418364431709,0.36855853383895,1.13163905870169,2,2.85779700284795
"241",241,115,256,1.71650628070347,0.151566105335951,14,0.783891834877431,0.206156724249013,1.84684483986348,2,2.73965322333025
"333",333,72,254,1.23172470945865,0.295395742729306,22,0.985473913140595,0.108253707061522,1.43262884719297,1,2.47050123037452
"94",94,116,354,1.46986760878935,0.165074171219021,20,0.80787151530385,0.188863796181977,1.22662741225213,1,2.4554508184441
"318",318,38,206,1.79231816329993,0.10456825401634,3,0.632094003167003,0.482214545831084,0.900094793178141,1,2.41294237070509
"253",253,24,456,1.54401936158538,0.176258522365242,3,0.635525234881788,0.366507177939638,0.696984705515206,2,2.35984983711009
"294",294,41,136,1.33894228711724,0.127461085654795,23,0.680801911093295,0.283780625206418,1.2542550242506,2,2.29880595058776
"17",17,68,192,1.74134569228627,0.132589570432901,9,0.608216643612832,0.18636175186839,1.23077907087281,2,2.24224841406877
"145",145,23,140,1.53287293016911,0.259185981191695,21,0.947734902054071,0.19098137342371,1.29767485754564,2,2.16655505955784
"150",150,66,342,1.59895329619758,0.0928468364290893,18,0.776589276921004,0.467686951626092,0.411801755893975,2,2.05204395313237
"263",263,54,260,1.64236901979893,0.0637453362345696,23,0.844647456891835,0.452548802248202,1.98450005799532,1,2.03312666134878
"243",243,91,454,1.67130142115057,0.0690629749558866,20,0.682153654005379,0.496897625620477,0.479044692590833,1,1.96261689982435
"6",6,12,360,1.72222251486965,0.276710223034024,3,0.744104805868119,0.323567317682318,1.58185312990099,1,1.95056235692443
"281",281,40,432,1.23603443428874,0.173179466743022,19,0.87388644516468,0.239631875418127,0.965939903166145,1,1.91606354615465
"69",69,116,368,1.68930006818846,0.176450475584716,17,0.919645280390978,0.14537247037515,0.938836401794106,1,1.75221863450464
"325",325,72,236,1.31654559737071,0.219957490451634,23,0.972796322498471,0.147482256172225,1.22104236483574,1,1.56691621505619
